id,name,date_of_birth,height,weight,spike,block,link
0,name,date_of_birth,height,weight,spike,block,link
218,Milena Radecka,18/10/1984,177,65,302,295,Players.asp?Tourn=WGP2011&Team=POL&No=119136
219,Paulina Maj-Erwardt,22/03/1987,166,58,277,255,Players.asp?Tourn=WGP2011&Team=POL&No=118379
220,Joanna Wolosz,7/04/1990,181,71,303,281,Players.asp?Tourn=WGP2011&Team=POL&No=118591
221,Katarzyna Gajgal,21/09/1981,190,85,300,287,Players.asp?Tourn=WGP2011&Team=POL&No=120320
222,Zuzanna Efimienko-Mlotkowska,8/08/1989,197,72,318,303,Players.asp?Tourn=WGP2011&Team=POL&No=119138
223,Joanna Kaczor,16/09/1984,191,64,305,290,Players.asp?Tourn=WGP2011&Team=POL&No=112557
224,Aleksandra Kruk,29/10/1984,181,76,298,285,Players.asp?Tourn=WGP2011&Team=POL&No=136457
225,Maja Tokarska,22/02/1991,193,72,325,293,Players.asp?Tourn=WGP2011&Team=POL&No=118590
226,Anita Kwiatkowska,5/03/1985,182,59,291,277,Players.asp?Tourn=WGP2011&Team=POL&No=112700
227,Lesya Makhno,4/09/1981,188,73,310,305,Players.asp?Tourn=WGP2011&Team=RUS&No=118016
228,Maria Perepelkina,9/03/1984,187,72,304,300,Players.asp?Tourn=WGP2011&Team=RUS&No=132070
229,Ekaterina Osichkina,2/04/1986,190,80,307,300,Players.asp?Tourn=WGP2011&Team=RUS&No=115148
230,Victoria Kuzyakina,1/06/1985,175,70,290,287,Players.asp?Tourn=WGP2011&Team=RUS&No=136924
231,Olga Bukreeva,15/02/1987,187,70,302,298,Players.asp?Tourn=WGP2011&Team=RUS&No=136456
232,Svetlana Kryuchkova,21/02/1985,174,63,290,286,Players.asp?Tourn=WGP2011&Team=RUS&No=118013
233,Nataliya Goncharova,1/06/1989,194,75,315,306,Players.asp?Tourn=WGP2011&Team=RUS&No=132071
234,Olga Fateeva,4/05/1984,190,72,310,303,Players.asp?Tourn=WGP2011&Team=RUS&No=111580
235,Iuliia Morozova,8/01/1985,192,79,305,301,Players.asp?Tourn=WGP2011&Team=RUS&No=120593
236,Ekaterina Gamova,17/10/1980,202,80,321,310,Players.asp?Tourn=WGP2011&Team=RUS&No=111379
237,Vera Vetrova (Ulyakina),21/08/1986,180,73,298,293,Players.asp?Tourn=WGP2011&Team=RUS&No=115157
238,Evgeniya Startseva,12/02/1989,185,68,294,290,Players.asp?Tourn=WGP2011&Team=RUS&No=119097
239,Ekaterina Ulanova,5/08/1986,172,61,298,290,Players.asp?Tourn=WGP2011&Team=RUS&No=118119
